id,lat,lon
0,59.17823744224788,17.67502835554068
1,59.18146049867714,17.67256125883849
2,59.18163176999855,17.67362000797447
3,59.18336001117293,17.67275666461685
4,59.16867077565787,17.67614799744075
5,59.16584776076917,17.6591851278841
6,59.17092222639311,17.65563502871061
7,59.1744720683694,17.65288047730614
8,59.17911750605618,17.64862608733281
9,59.18467360355609,17.64383209468461
10,59.18484932452733,17.6574190348278
11,59.18146883292819,17.66452378176805
12,59.17639999999999,17.66768611111111
13,59.19139444444444,17.65536111111111
14,59.18066518638187,17.68952932492661
15,59.17628215570183,17.63379162337648
16,59.16868099769016,17.63862136515215
