id,from_node,to_node,length,hp_type,capacity,direction,costs,losses
0,forks-12,forks-0,470,DN-1100,2969.7641,1,101892.60627099998,209.36836904999998
1,forks-0,consumers-0,240,DN-1100,2677.3859,1,46907.800968,96.3858924
2,forks-0,forks-1,390,DN-1100,83.009878,1,2363.2912266599997,4.856077862999999
3,forks-1,forks-2,60,DN-1100,78.1538,1,342.313644,0.7033842
4,forks-2,forks-3,200,DN-1100,77.450416,1,1130.7760736,2.3235124799999998
5,forks-3,consumers-1,100,DN-1100,75.126904,1,548.4263991999999,1.1269035599999997
6,forks-1,forks-11,460,,0.0,0,0.0,0.0
7,forks-11,forks-10,560,,0.0,0,0.0,0.0
8,forks-10,forks-9,780,DN-1100,250.20411,-1,14246.6220234,29.273880869999996
9,forks-9,forks-8,680,DN-1100,125.91374,1,6250.3580536,12.84320148
10,forks-8,consumers-4,240,DN-1100,113.07054,1,1980.9958608,4.07053944
11,forks-8,forks-7,570,,0.0,0,0.0,0.0
12,forks-7,consumers-3,240,DN-1100,188.79668,1,3307.7178336,6.79668048
13,forks-7,forks-6,420,DN-1100,3155.6174,-1,96751.229484,198.8038962
14,forks-6,producers-1,250,DN-1100,6660.2604,-1,121549.7523,249.759765
15,forks-6,forks-5,580,DN-1100,3254.8832,1,137811.754688,283.1748384
16,forks-5,forks-4,1030,,0.0,0,0.0,0.0
17,forks-4,forks-12,1000,,0.0,0,0.0,0.0
18,forks-7,consumers-2,330,DN-1100,2768.0168,1,66681.524712,137.0168316
19,forks-12,producers-0,190,DN-1100,3056.8854,-1,42399.000498,87.1212339
20,forks-5,consumers-9,540,DN-1100,2971.7084,1,117144.745128,240.70838039999998
21,forks-4,consumers-8,610,DN-1100,394.05614,1,17547.3199142,36.05613681
22,forks-4,producers-4,1090,DN-1100,471.07727,-1,37483.6183739,77.02113364499999
23,producers-4,forks-14,1160,,0.0,0,0.0,0.0
24,forks-14,consumers-0,630,,0.0,0,0.0,0.0
25,forks-14,forks-2,910,,0.0,0,0.0,0.0
26,forks-10,consumers-7,360,DN-1100,220.93023,1,5806.046444399999,11.93023242
27,forks-13,consumers-7,390,,0.0,0,0.0,0.0
28,forks-13,producers-3,1060,,0.0,0,0.0,0.0
29,producers-3,forks-9,290,DN-1100,393.22306,1,8324.5321802,17.105203109999998
30,forks-15,consumers-4,760,,0.0,0,0.0,0.0
31,forks-15,consumers-6,610,DN-1100,348.9268,1,15537.710404,31.9268022
32,forks-15,forks-16,880,DN-1100,401.9894,-1,25823.799055999996,53.06260079999999
33,forks-16,consumers-5,300,DN-1100,542.40838,1,11878.743521999999,24.4083771
34,forks-16,producers-2,420,DN-1100,1007.8952,-1,30902.066831999997,63.4973976
35,producers-2,forks-6,580,,0.0,0,0.0,0.0
